"Site","Year","Rosettes","Infl","TagNew","RosNew","InflNew","surv","lagsrtsz","lagforsurv","PptFall","PptWinter","PptSummer","TempFall","TempWinter","TempSummer","TransectNew","InflYesNo"
"Garden Park East",2006,21,7,"E.1.101",21,7,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.1",1
"Garden Park East",2007,39,0,"E.1.101",39,0,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.1",0
"Garden Park East",2008,30,0,"E.1.101",30,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.1",0
"Garden Park East",2009,5,0,"E.1.101",5,0,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.1",0
"Garden Park East",2010,12,0,"E.1.101",12,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.1",0
"Garden Park East",2011,15,0,"E.1.101",15,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.1",0
"Garden Park East",2012,16,11,"E.1.101",16,11,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.1",1
"Garden Park East",2013,17,1,"E.1.101",17,1,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.1",1
"Garden Park East",2014,47,25,"E.1.101",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.1",NA
"Garden Park East",2015,47,25,"E.1.101",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.1",NA
"Garden Park East",2016,13,0,"E.1.101",13,0,1,3,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.1",0
"Garden Park East",2017,47,25,"E.1.101",NA,NA,NA,0,0,117.009000301361,60.414999961853,326.344995498657,14.6460008621216,2.88675017934293,15.5090007781982,"E.1",NA
"Garden Park East",2018,7,0,"E.1.101",7,0,1,2,2,203.708003997803,38.4449987411499,155.418996810913,13.4550009965897,1.98325005173683,17.0420002937317,"E.1",0
"Garden Park East",2004,37,28,"E.1.102",37,28,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.1",1
"Garden Park East",2005,43,0,"E.1.102",43,0,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.1",0
"Garden Park East",2006,29,0,"E.1.102",29,0,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.1",0
"Garden Park East",2007,47,4,"E.1.102",47,4,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.1",1
"Garden Park East",2008,46,1,"E.1.102",46,1,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.1",1
"Garden Park East",2009,33,6,"E.1.102",33,6,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.1",1
"Garden Park East",2010,40,0,"E.1.102",40,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.1",0
"Garden Park East",2011,36,0,"E.1.102",36,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.1",0
"Garden Park East",2012,30,13,"E.1.102",30,13,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.1",1
"Garden Park East",2013,67,0,"E.1.102",67,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.1",0
"Garden Park East",2014,37,28,"E.1.102",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.1",NA
"Garden Park East",2015,37,28,"E.1.102",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.1",NA
"Garden Park East",2016,27,0,"E.1.102",27,0,1,3,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.1",0
"Garden Park East",2017,37,28,"E.1.102",NA,NA,NA,0,0,117.009000301361,60.414999961853,326.344995498657,14.6460008621216,2.88675017934293,15.5090007781982,"E.1",NA
"Garden Park East",2018,18,0,"E.1.102",18,0,1,2,2,203.708003997803,38.4449987411499,155.418996810913,13.4550009965897,1.98325005173683,17.0420002937317,"E.1",0
"Garden Park East",2009,2,0,"E.1.259",2,0,1,0,0,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.1",0
"Garden Park East",2010,NA,NA,"E.1.259",NA,NA,0,0,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.1",NA
"Garden Park East",2007,3,0,"E.1.662",3,0,1,0,0,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.1",0
"Garden Park East",2008,6,0,"E.1.662",6,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.1",0
"Garden Park East",2009,3,0,"E.1.662",3,0,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.1",0
"Garden Park East",2010,4,0,"E.1.662",4,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.1",0
"Garden Park East",2011,5,0,"E.1.662",5,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.1",0
"Garden Park East",2012,3,0,"E.1.662",3,0,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.1",0
"Garden Park East",2013,3,0,"E.1.662",3,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.1",0
"Garden Park East",2014,3,0,"E.1.662",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.1",NA
"Garden Park East",2015,3,0,"E.1.662",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.1",NA
"Garden Park East",2016,5,0,"E.1.662",5,0,1,3,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.1",0
"Garden Park East",2017,3,0,"E.1.662",NA,NA,NA,0,0,117.009000301361,60.414999961853,326.344995498657,14.6460008621216,2.88675017934293,15.5090007781982,"E.1",NA
"Garden Park East",2018,4,0,"E.1.662",4,0,1,2,2,203.708003997803,38.4449987411499,155.418996810913,13.4550009965897,1.98325005173683,17.0420002937317,"E.1",0
"Garden Park East",2007,2,0,"E.1.671",2,0,1,0,0,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.1",0
"Garden Park East",2008,3,0,"E.1.671",3,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.1",0
"Garden Park East",2009,3,0,"E.1.671",3,0,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.1",0
"Garden Park East",2010,3,0,"E.1.671",3,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.1",0
"Garden Park East",2011,2,0,"E.1.671",2,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.1",0
"Garden Park East",2012,2,0,"E.1.671",2,0,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.1",0
"Garden Park East",2013,2,0,"E.1.671",2,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.1",0
"Garden Park East",2014,2,0,"E.1.671",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.1",NA
"Garden Park East",2015,2,0,"E.1.671",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.1",NA
"Garden Park East",2016,2,0,"E.1.671",2,0,1,3,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.1",0
"Garden Park East",2017,2,0,"E.1.671",NA,NA,NA,0,0,117.009000301361,60.414999961853,326.344995498657,14.6460008621216,2.88675017934293,15.5090007781982,"E.1",NA
"Garden Park East",2018,3,0,"E.1.671",3,0,1,2,2,203.708003997803,38.4449987411499,155.418996810913,13.4550009965897,1.98325005173683,17.0420002937317,"E.1",0
"Garden Park East",2006,4,0,"E.2.7",4,0,1,0,0,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.2",0
"Garden Park East",2007,5,0,"E.2.7",5,0,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.2",0
"Garden Park East",2008,5,0,"E.2.7",5,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.2",0
"Garden Park East",2009,5,0,"E.2.7",5,0,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.2",0
"Garden Park East",2010,3,0,"E.2.7",3,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.2",0
"Garden Park East",2011,4,0,"E.2.7",4,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.2",0
"Garden Park East",2012,6,0,"E.2.7",6,0,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.2",0
"Garden Park East",2013,7,0,"E.2.7",7,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.2",0
"Garden Park East",2014,4,0,"E.2.7",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.2",NA
"Garden Park East",2015,4,0,"E.2.7",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.2",NA
"Garden Park East",2016,2,0,"E.2.7",2,0,1,3,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.2",0
"Garden Park East",2017,4,0,"E.2.7",NA,NA,NA,0,0,117.009000301361,60.414999961853,326.344995498657,14.6460008621216,2.88675017934293,15.5090007781982,"E.2",NA
"Garden Park East",2018,5,0,"E.2.7",5,0,1,2,2,203.708003997803,38.4449987411499,155.418996810913,13.4550009965897,1.98325005173683,17.0420002937317,"E.2",0
"Garden Park East",2013,2,0,"E.2.39",4,0,1,0,0,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.2",0
"Garden Park East",2014,2,0,"E.2.39",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.2",NA
"Garden Park East",2015,2,0,"E.2.39",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.2",NA
"Garden Park East",2016,3,0,"E.2.39",6,0,1,3,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.2",0
"Garden Park East",2017,2,0,"E.2.39",NA,NA,NA,0,0,117.009000301361,60.414999961853,326.344995498657,14.6460008621216,2.88675017934293,15.5090007781982,"E.2",NA
"Garden Park East",2018,NA,NA,"E.2.39",NA,NA,0,0,2,203.708003997803,38.4449987411499,155.418996810913,13.4550009965897,1.98325005173683,17.0420002937317,"E.2",NA
"Garden Park East",2004,17,6,"E.2.103",17,6,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.2",1
"Garden Park East",2005,24,0,"E.2.103",24,0,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.2",0
"Garden Park East",2006,19,7,"E.2.103",19,7,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.2",1
"Garden Park East",2007,33,2,"E.2.103",33,2,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.2",1
"Garden Park East",2008,33,0,"E.2.103",33,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.2",0
"Garden Park East",2009,32,2,"E.2.103",33,2,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.2",1
"Garden Park East",2010,25,2,"E.2.103",27,2,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.2",1
"Garden Park East",2011,26,4,"E.2.103",33,4,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.2",1
"Garden Park East",2012,28,20,"E.2.103",28,20,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.2",1
"Garden Park East",2013,22,0,"E.2.103",22,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.2",0
"Garden Park East",2014,17,6,"E.2.103",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.2",NA
"Garden Park East",2015,17,6,"E.2.103",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.2",NA
"Garden Park East",2016,20,0,"E.2.103",20,0,1,3,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.2",0
"Garden Park East",2017,17,6,"E.2.103",NA,NA,NA,0,0,117.009000301361,60.414999961853,326.344995498657,14.6460008621216,2.88675017934293,15.5090007781982,"E.2",NA
"Garden Park East",2018,11,7,"E.2.103",11,7,1,2,2,203.708003997803,38.4449987411499,155.418996810913,13.4550009965897,1.98325005173683,17.0420002937317,"E.2",1
"Garden Park East",2004,33,24,"E.2.104",47,32,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.2",1
"Garden Park East",2005,39,7,"E.2.104",55,10,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.2",1
"Garden Park East",2006,37,5,"E.2.104",45,5,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.2",1
"Garden Park East",2007,27,2,"E.2.104",41,6,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.2",1
"Garden Park East",2008,25,0,"E.2.104",40,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.2",0
"Garden Park East",2009,22,3,"E.2.104",36,4,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.2",1
"Garden Park East",2010,35,4,"E.2.104",53,7,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.2",1
"Garden Park East",2011,26,0,"E.2.104",49,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.2",0
"Garden Park East",2012,23,10,"E.2.104",36,17,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.2",1
"Garden Park East",2013,49,0,"E.2.104",76,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.2",0
"Garden Park East",2014,33,24,"E.2.104",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.2",NA
"Garden Park East",2015,33,24,"E.2.104",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.2",NA
"Garden Park East",2016,NA,NA,"E.2.104",NA,NA,0,0,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.2",NA
"Garden Park East",2004,14,14,"E.2.105",21,14,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.2",1
"Garden Park East",2005,18,6,"E.2.105",26,6,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.2",1
"Garden Park East",2006,12,0,"E.2.105",18,1,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.2",1
"Garden Park East",2007,24,9,"E.2.105",32,9,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.2",1
"Garden Park East",2008,21,0,"E.2.105",28,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.2",0
"Garden Park East",2009,13,14,"E.2.105",20,14,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.2",1
"Garden Park East",2010,16,3,"E.2.105",20,3,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.2",1
"Garden Park East",2011,19,1,"E.2.105",28,2,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.2",1
"Garden Park East",2012,20,15,"E.2.105",27,17,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.2",1
"Garden Park East",2013,8,5,"E.2.105",24,5,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.2",1
"Garden Park East",2014,14,14,"E.2.105",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.2",NA
"Garden Park East",2015,14,14,"E.2.105",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.2",NA
"Garden Park East",2016,7,0,"E.2.105",14,0,1,3,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.2",0
"Garden Park East",2017,14,14,"E.2.105",NA,NA,NA,0,0,117.009000301361,60.414999961853,326.344995498657,14.6460008621216,2.88675017934293,15.5090007781982,"E.2",NA
"Garden Park East",2018,11,0,"E.2.105",11,0,1,2,2,203.708003997803,38.4449987411499,155.418996810913,13.4550009965897,1.98325005173683,17.0420002937317,"E.2",0
"Garden Park East",2004,26,20,"E.2.106",26,20,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.2",1
"Garden Park East",2005,26,10,"E.2.106",26,10,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.2",1
"Garden Park East",2006,24,1,"E.2.106",24,1,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.2",1
"Garden Park East",2007,49,15,"E.2.106",49,15,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.2",1
"Garden Park East",2008,18,0,"E.2.106",18,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.2",0
"Garden Park East",2009,25,12,"E.2.106",25,12,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.2",1
"Garden Park East",2010,45,0,"E.2.106",45,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.2",0
"Garden Park East",2011,20,0,"E.2.106",20,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.2",0
"Garden Park East",2012,25,11,"E.2.106",25,11,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.2",1
"Garden Park East",2013,40,3,"E.2.106",40,3,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.2",1
"Garden Park East",2014,26,20,"E.2.106",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.2",NA
"Garden Park East",2015,26,20,"E.2.106",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.2",NA
"Garden Park East",2016,NA,NA,"E.2.106",NA,NA,0,0,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.2",NA
"Garden Park East",2004,24,19,"E.2.107",24,19,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.2",1
"Garden Park East",2005,25,4,"E.2.107",25,4,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.2",1
"Garden Park East",2006,21,0,"E.2.107",21,0,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.2",0
"Garden Park East",2007,28,14,"E.2.107",28,14,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.2",1
"Garden Park East",2008,10,0,"E.2.107",10,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.2",0
"Garden Park East",2009,22,2,"E.2.107",22,2,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.2",1
"Garden Park East",2010,34,0,"E.2.107",34,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.2",0
"Garden Park East",2011,25,0,"E.2.107",25,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.2",0
"Garden Park East",2012,33,24,"E.2.107",33,24,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.2",1
"Garden Park East",2013,25,0,"E.2.107",27,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.2",0
"Garden Park East",2014,24,19,"E.2.107",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.2",NA
"Garden Park East",2015,24,19,"E.2.107",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.2",NA
"Garden Park East",2016,9,0,"E.2.107",9,0,1,3,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.2",0
"Garden Park East",2017,24,19,"E.2.107",NA,NA,NA,0,0,117.009000301361,60.414999961853,326.344995498657,14.6460008621216,2.88675017934293,15.5090007781982,"E.2",NA
"Garden Park East",2018,NA,NA,"E.2.107",NA,NA,0,0,2,203.708003997803,38.4449987411499,155.418996810913,13.4550009965897,1.98325005173683,17.0420002937317,"E.2",NA
"Garden Park East",2004,18,6,"E.2.108",18,6,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.2",1
