"","demoyr","Site","TagNo","DFN","dbh1","ht1","dbhfromDFN","DBH","surv","lags","resurveyarea","newplt","yr","Temp.Oct.Apr.","Temp.May.Sept.","Precip.Aug.July","fog","cloud","sitetag"
"32",2002,"EF1","971",1.2,NA,61,0.72150452934226,0.72150452934226,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"EF1971"
"33",2003,"EF1","971",NA,1.4,157,NA,1.4,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF1971"
"331",2004,"EF1","971",NA,NA,157,NA,NA,NA,0,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF1971"
"34",2005,"EF1","971",NA,3.8,235,NA,3.8,1,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF1971"
"341",2006,"EF1","971",NA,NA,235,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"EF1971"
"35",2007,"EF1","971",NA,6.8,NA,NA,6.8,1,2,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"EF1971"
"351",2008,"EF1","971",NA,NA,NA,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"EF1971"
"36",2009,"EF1","971",NA,8.2,NA,NA,8.2,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"EF1971"
"361",2010,"EF1","971",NA,NA,NA,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"EF1971"
"37",2011,"EF1","971",NA,12.5,NA,NA,12.5,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"EF1971"
"371",2012,"EF1","971",NA,NA,NA,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"EF1971"
"38",2013,"EF1","971",NA,13.8,NA,NA,13.8,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"EF1971"
"39",2014,"EF1","971",NA,13.8,NA,NA,13.8,0,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"EF1971"
"40",2002,"EF1","977",NA,2.2,161,NA,2.2,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"EF1977"
"411",2003,"EF1","977",NA,3,206,NA,3,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF1977"
"412",2004,"EF1","977",NA,NA,206,NA,NA,NA,0,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF1977"
"42",2005,"EF1","977",NA,4.4,234,NA,4.4,1,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF1977"
"421",2006,"EF1","977",NA,NA,234,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"EF1977"
"43",2007,"EF1","977",NA,5.7,NA,NA,5.7,1,2,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"EF1977"
"431",2008,"EF1","977",NA,NA,NA,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"EF1977"
"44",2009,"EF1","977",NA,6.1,NA,NA,6.1,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"EF1977"
"441",2010,"EF1","977",NA,NA,NA,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"EF1977"
"45",2011,"EF1","977",NA,7,NA,NA,7,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"EF1977"
"451",2012,"EF1","977",NA,NA,NA,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"EF1977"
"46",2013,"EF1","977",NA,7.5,NA,NA,7.5,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"EF1977"
"47",2014,"EF1","977",NA,6.9,NA,NA,6.9,0,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"EF1977"
"48",2002,"EF1","988",NA,4,278,NA,4,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"EF1988"
"49",2003,"EF1","988",NA,5.1,407,NA,5.1,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF1988"
"491",2004,"EF1","988",NA,NA,407,NA,NA,NA,0,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF1988"
"50",2005,"EF1","988",NA,7.4,NA,NA,7.4,1,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF1988"
"501",2006,"EF1","988",NA,NA,NA,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"EF1988"
"511",2007,"EF1","988",NA,10.1,NA,NA,10.1,1,2,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"EF1988"
"512",2008,"EF1","988",NA,NA,NA,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"EF1988"
"52",2009,"EF1","988",NA,10.7,NA,NA,10.7,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"EF1988"
"521",2010,"EF1","988",NA,NA,NA,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"EF1988"
"53",2011,"EF1","988",NA,15.9,NA,NA,15.9,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"EF1988"
"531",2012,"EF1","988",NA,NA,NA,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"EF1988"
"54",2013,"EF1","988",NA,17.1,NA,NA,17.1,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"EF1988"
"55",2014,"EF1","988",NA,17.3,NA,NA,17.3,0,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"EF1988"
"56",2002,"EF1","1082",NA,1.7,151,NA,1.7,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"EF11082"
"57",2003,"EF1","1082",NA,3.9,269,NA,3.9,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11082"
"571",2004,"EF1","1082",NA,NA,269,NA,NA,NA,0,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11082"
"58",2005,"EF1","1082",NA,8.6,NA,NA,8.6,1,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF11082"
"581",2006,"EF1","1082",NA,NA,NA,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"EF11082"
"59",2007,"EF1","1082",NA,14.5,NA,NA,14.5,1,2,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"EF11082"
"591",2008,"EF1","1082",NA,NA,NA,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"EF11082"
"60",2009,"EF1","1082",NA,17.3,NA,NA,17.3,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"EF11082"
"601",2010,"EF1","1082",NA,NA,NA,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"EF11082"
"611",2011,"EF1","1082",NA,22.4,NA,NA,22.4,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"EF11082"
"612",2012,"EF1","1082",NA,NA,NA,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"EF11082"
"62",2013,"EF1","1082",NA,24.2,NA,NA,24.2,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"EF11082"
"63",2014,"EF1","1082",NA,24,NA,NA,24,0,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"EF11082"
"64",2002,"EF1","1083",NA,1.4,NA,NA,1.4,0,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"EF11083"
"65",2002,"EF1","1084",NA,3.6,168,NA,3.6,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"EF11084"
"66",2003,"EF1","1084",NA,4.1,268,NA,4.1,0,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11084"
"69",2002,"EF1","1085",2.5,NA,105,1.3738085860575,1.3738085860575,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"EF11085"
"70",2003,"EF1","1085",NA,NA,NA,NA,NA,0,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11085"
"711",2002,"EF1","1087",2.2,NA,93,1.22327688066168,1.22327688066168,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"EF11087"
"72",2003,"EF1","1087",4.4,NA,130,2.32717605356439,2.32717605356439,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11087"
"721",2004,"EF1","1087",NA,NA,130,NA,NA,NA,0,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11087"
"73",2005,"EF1","1087",NA,3.4,250,NA,3.4,1,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF11087"
"731",2006,"EF1","1087",NA,NA,250,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"EF11087"
"74",2007,"EF1","1087",NA,6.8,NA,NA,6.8,1,2,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"EF11087"
"741",2008,"EF1","1087",NA,NA,NA,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"EF11087"
"75",2009,"EF1","1087",NA,7.7,NA,NA,7.7,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"EF11087"
"751",2010,"EF1","1087",NA,NA,NA,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"EF11087"
"76",2011,"EF1","1087",NA,12.9,NA,NA,12.9,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"EF11087"
"761",2012,"EF1","1087",NA,NA,NA,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"EF11087"
"77",2013,"EF1","1087",NA,13,NA,NA,13,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"EF11087"
"78",2014,"EF1","1087",NA,13.3,NA,NA,13.3,0,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"EF11087"
"79",2002,"EF1","1088",NA,0.7,145,NA,0.7,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"EF11088"
"80",2003,"EF1","1088",NA,0.7,145,NA,0.7,0,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11088"
"811",2002,"EF1","1089",2.1,NA,79,1.17309964552974,1.17309964552974,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"EF11089"
"82",2003,"EF1","1089",3.5,NA,126,1.87558093737692,1.87558093737692,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11089"
"821",2004,"EF1","1089",NA,NA,126,NA,NA,NA,0,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11089"
"83",2005,"EF1","1089",NA,1.8,180,NA,1.8,1,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF11089"
"831",2006,"EF1","1089",NA,NA,180,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"EF11089"
"84",2007,"EF1","1089",NA,3.6,245,NA,3.6,1,2,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"EF11089"
"841",2008,"EF1","1089",NA,NA,245,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"EF11089"
"85",2009,"EF1","1089",NA,4.3,284,NA,4.3,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"EF11089"
"851",2010,"EF1","1089",NA,NA,284,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"EF11089"
"86",2011,"EF1","1089",NA,7.4,NA,NA,7.4,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"EF11089"
"861",2012,"EF1","1089",NA,NA,NA,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"EF11089"
"87",2013,"EF1","1089",NA,7.9,NA,NA,7.9,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"EF11089"
"88",2014,"EF1","1089",NA,7.9,NA,NA,7.9,0,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"EF11089"
"89",2002,"EF1","1095",NA,5.2,188,NA,5.2,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"EF11095"
"90",2003,"EF1","1095",NA,10.2,173,NA,10.2,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11095"
"901",2004,"EF1","1095",NA,NA,173,NA,NA,NA,0,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11095"
"91",2005,"EF1","1095",NA,5.6,173,NA,5.6,1,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF11095"
"911",2006,"EF1","1095",NA,NA,173,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"EF11095"
"92",2007,"EF1","1095",NA,NA,NA,NA,NA,0,2,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"EF11095"
"95",2003,"EF1","1518",0.2,NA,14,0.219732178022843,0.219732178022843,1,0,1,1,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11518"
"96",2004,"EF1","1518",0.4,NA,20,0.320086648286726,0.320086648286726,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11518"
"97",2005,"EF1","1518",NA,NA,NA,NA,NA,0,1,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF11518"
"98",2003,"EF1","1519",0.1,NA,7,0.169554942890901,0.169554942890901,1,0,1,1,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11519"
"99",2004,"EF1","1519",0.3,NA,18,0.269909413154784,0.269909413154784,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11519"
"100",2005,"EF1","1519",0.5,NA,32,0.370263883418668,0.370263883418668,1,1,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF11519"
"1001",2006,"EF1","1519",NA,NA,32,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"EF11519"
"101",2007,"EF1","1519",3.9,NA,95,2.07628987790468,2.07628987790468,1,2,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"EF11519"
"1011",2008,"EF1","1519",NA,NA,95,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"EF11519"
"102",2009,"EF1","1519",NA,1,164,NA,1,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"EF11519"
"1021",2010,"EF1","1519",NA,NA,164,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"EF11519"
"103",2011,"EF1","1519",NA,4.7,NA,NA,4.7,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"EF11519"
"1031",2012,"EF1","1519",NA,NA,NA,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"EF11519"
"104",2013,"EF1","1519",NA,6.6,NA,NA,6.6,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"EF11519"
"105",2014,"EF1","1519",NA,7.2,NA,NA,7.2,1,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"EF11519"
"106",2015,"EF1","1519",NA,7.8,NA,NA,7.8,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,"EF11519"
"107",2016,"EF1","1519",NA,8.2,NA,NA,8.2,1,1,1,0,2016,13.6,15.7,797.63,11562.25,9450.275,"EF11519"
"108",2017,"EF1","1519",NA,10.1,NA,NA,10.1,1,1,1,0,2017,NA,NA,NA,11215.875,8533.928,"EF11519"
"109",2003,"EF1","1520",1.5,NA,14,0.872036234738085,0.872036234738085,1,0,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11520"
"1091",2004,"EF1","1520",NA,NA,14,NA,NA,NA,0,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11520"
"110",2005,"EF1","1520",NA,NA,NA,NA,NA,0,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF11520"
"112",2003,"EF1","1521",1.2,NA,60,0.72150452934226,0.72150452934226,1,0,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11521"
"1121",2004,"EF1","1521",NA,NA,60,NA,NA,NA,0,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11521"
"113",2005,"EF1","1521",1.2,NA,60,0.72150452934226,0.72150452934226,0,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF11521"
"124",2003,"EF1","1523",3.5,NA,110,1.87558093737692,1.87558093737692,1,0,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11523"
"1241",2004,"EF1","1523",NA,NA,110,NA,NA,NA,0,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11523"
"125",2005,"EF1","1523",NA,NA,NA,NA,NA,0,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF11523"
"127",2003,"EF1","1524",0.8,NA,82,0.520795588814493,0.520795588814493,1,0,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11524"
"1271",2004,"EF1","1524",NA,NA,82,NA,NA,NA,0,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11524"
"128",2005,"EF1","1524",0.8,NA,82,0.520795588814493,0.520795588814493,0,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF11524"
"129",2003,"EF1","1525",0.3,NA,13,0.269909413154784,0.269909413154784,1,0,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11525"
"1291",2004,"EF1","1525",NA,NA,13,NA,NA,NA,0,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11525"
"130",2005,"EF1","1525",0.3,NA,13,0.269909413154784,0.269909413154784,0,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF11525"
"131",2003,"EF1","1526",0.2,NA,9,0.219732178022843,0.219732178022843,1,0,1,1,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11526"
"132",2004,"EF1","1526",0.3,NA,17,0.269909413154784,0.269909413154784,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11526"
"133",2005,"EF1","1526",0.9,NA,45,0.570972823946435,0.570972823946435,1,1,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF11526"
"1331",2006,"EF1","1526",NA,NA,45,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"EF11526"
"134",2007,"EF1","1526",2.3,NA,79,1.27345411579362,1.27345411579362,1,2,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"EF11526"
"1341",2008,"EF1","1526",NA,NA,79,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"EF11526"
"135",2009,"EF1","1526",2.8,NA,100,1.52434029145333,1.52434029145333,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"EF11526"
"1351",2010,"EF1","1526",NA,NA,100,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"EF11526"
"136",2011,"EF1","1526",NA,3.2,296,NA,3.2,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"EF11526"
"1361",2012,"EF1","1526",NA,NA,296,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"EF11526"
"137",2013,"EF1","1526",NA,4,NA,NA,4,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"EF11526"
"138",2014,"EF1","1526",NA,4,NA,NA,4,0,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"EF11526"
"139",2003,"EF1","1527",0.1,NA,10,0.169554942890901,0.169554942890901,1,0,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11527"
"140",2004,"EF1","1527",NA,NA,NA,NA,NA,0,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11527"
"145",2003,"EF1","1528",0.1,NA,11,0.169554942890901,0.169554942890901,1,0,1,1,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11528"
"146",2004,"EF1","1528",0.3,NA,17,0.269909413154784,0.269909413154784,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11528"
"147",2005,"EF1","1528",NA,NA,NA,NA,NA,0,1,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF11528"
"149",2002,"EF1","1803",NA,9.2,NA,NA,9.2,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"EF11803"
"150",2003,"EF1","1803",NA,11.3,NA,NA,11.3,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"EF11803"
"1501",2004,"EF1","1803",NA,NA,NA,NA,NA,NA,0,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"EF11803"
"1511",2005,"EF1","1803",NA,18.8,NA,NA,18.8,1,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"EF11803"
"1512",2006,"EF1","1803",NA,NA,NA,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"EF11803"
"152",2007,"EF1","1803",NA,19.6,NA,NA,19.6,1,2,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"EF11803"
"1521",2008,"EF1","1803",NA,NA,NA,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"EF11803"
"153",2009,"EF1","1803",NA,20.9,NA,NA,20.9,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"EF11803"
