"","demoyr","Site","TagNo","DFN","dbh1","ht1","dbhfromDFN","DBH","surv","lags","yr","Temp.Oct.Apr.","Temp.May.Sept.","Precip.Aug.July","fog","cloud"
"271",2012,"EF1","947",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"28",2013,"EF1","947",NA,12.7,NA,NA,12.7,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"29",2014,"EF1","947",NA,12.7,NA,NA,12.7,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"30",2002,"EF1","948",1.8,NA,69,1.02256794013391,1.02256794013391,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"31",2003,"EF1","948",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"32",2002,"EF1","971",1.2,NA,61,0.72150452934226,0.72150452934226,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"33",2003,"EF1","971",NA,1.4,157,NA,1.4,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"331",2004,"EF1","971",NA,NA,157,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"34",2005,"EF1","971",NA,3.8,235,NA,3.8,1,2,2005,13.057,14.78,482.06,10577.29,8228.298
"341",2006,"EF1","971",NA,NA,235,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"35",2007,"EF1","971",NA,6.8,NA,NA,6.8,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"351",2008,"EF1","971",NA,NA,NA,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"36",2009,"EF1","971",NA,8.2,NA,NA,8.2,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"361",2010,"EF1","971",NA,NA,NA,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"37",2011,"EF1","971",NA,12.5,NA,NA,12.5,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"371",2012,"EF1","971",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"38",2013,"EF1","971",NA,13.8,NA,NA,13.8,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"39",2014,"EF1","971",NA,13.8,NA,NA,13.8,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"40",2002,"EF1","977",NA,2.2,161,NA,2.2,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"411",2003,"EF1","977",NA,3,206,NA,3,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"412",2004,"EF1","977",NA,NA,206,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"42",2005,"EF1","977",NA,4.4,234,NA,4.4,1,2,2005,13.057,14.78,482.06,10577.29,8228.298
"421",2006,"EF1","977",NA,NA,234,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"43",2007,"EF1","977",NA,5.7,NA,NA,5.7,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"431",2008,"EF1","977",NA,NA,NA,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"44",2009,"EF1","977",NA,6.1,NA,NA,6.1,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"441",2010,"EF1","977",NA,NA,NA,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"45",2011,"EF1","977",NA,7,NA,NA,7,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"451",2012,"EF1","977",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"46",2013,"EF1","977",NA,7.5,NA,NA,7.5,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"47",2014,"EF1","977",NA,6.9,NA,NA,6.9,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"48",2002,"EF1","988",NA,4,278,NA,4,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"49",2003,"EF1","988",NA,5.1,407,NA,5.1,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"491",2004,"EF1","988",NA,NA,407,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"50",2005,"EF1","988",NA,7.4,NA,NA,7.4,1,2,2005,13.057,14.78,482.06,10577.29,8228.298
"501",2006,"EF1","988",NA,NA,NA,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"511",2007,"EF1","988",NA,10.1,NA,NA,10.1,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"512",2008,"EF1","988",NA,NA,NA,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"52",2009,"EF1","988",NA,10.7,NA,NA,10.7,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"521",2010,"EF1","988",NA,NA,NA,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"53",2011,"EF1","988",NA,15.9,NA,NA,15.9,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"531",2012,"EF1","988",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"54",2013,"EF1","988",NA,17.1,NA,NA,17.1,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"55",2014,"EF1","988",NA,17.3,NA,NA,17.3,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"56",2002,"EF1","1082",NA,1.7,151,NA,1.7,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"57",2003,"EF1","1082",NA,3.9,269,NA,3.9,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"571",2004,"EF1","1082",NA,NA,269,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"58",2005,"EF1","1082",NA,8.6,NA,NA,8.6,1,2,2005,13.057,14.78,482.06,10577.29,8228.298
"581",2006,"EF1","1082",NA,NA,NA,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"59",2007,"EF1","1082",NA,14.5,NA,NA,14.5,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"591",2008,"EF1","1082",NA,NA,NA,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"60",2009,"EF1","1082",NA,17.3,NA,NA,17.3,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"601",2010,"EF1","1082",NA,NA,NA,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"611",2011,"EF1","1082",NA,22.4,NA,NA,22.4,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"612",2012,"EF1","1082",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"62",2013,"EF1","1082",NA,24.2,NA,NA,24.2,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"63",2014,"EF1","1082",NA,24,NA,NA,24,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"64",2002,"EF1","1083",NA,1.4,NA,NA,1.4,0,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"65",2002,"EF1","1084",NA,3.6,168,NA,3.6,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"66",2003,"EF1","1084",NA,4.1,268,NA,4.1,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"69",2002,"EF1","1085",2.5,NA,105,1.3738085860575,1.3738085860575,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"70",2003,"EF1","1085",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"711",2002,"EF1","1087",2.2,NA,93,1.22327688066168,1.22327688066168,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"72",2003,"EF1","1087",4.4,NA,130,2.32717605356439,2.32717605356439,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"721",2004,"EF1","1087",NA,NA,130,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"73",2005,"EF1","1087",NA,3.4,250,NA,3.4,1,2,2005,13.057,14.78,482.06,10577.29,8228.298
"731",2006,"EF1","1087",NA,NA,250,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"74",2007,"EF1","1087",NA,6.8,NA,NA,6.8,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"741",2008,"EF1","1087",NA,NA,NA,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"75",2009,"EF1","1087",NA,7.7,NA,NA,7.7,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"751",2010,"EF1","1087",NA,NA,NA,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"76",2011,"EF1","1087",NA,12.9,NA,NA,12.9,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"761",2012,"EF1","1087",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"77",2013,"EF1","1087",NA,13,NA,NA,13,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"78",2014,"EF1","1087",NA,13.3,NA,NA,13.3,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"79",2002,"EF1","1088",NA,0.7,145,NA,0.7,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"80",2003,"EF1","1088",NA,0.7,145,NA,0.7,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"811",2002,"EF1","1089",2.1,NA,79,1.17309964552974,1.17309964552974,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"82",2003,"EF1","1089",3.5,NA,126,1.87558093737692,1.87558093737692,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"821",2004,"EF1","1089",NA,NA,126,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"83",2005,"EF1","1089",NA,1.8,180,NA,1.8,1,2,2005,13.057,14.78,482.06,10577.29,8228.298
"831",2006,"EF1","1089",NA,NA,180,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"84",2007,"EF1","1089",NA,3.6,245,NA,3.6,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"841",2008,"EF1","1089",NA,NA,245,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"85",2009,"EF1","1089",NA,4.3,284,NA,4.3,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"851",2010,"EF1","1089",NA,NA,284,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"86",2011,"EF1","1089",NA,7.4,NA,NA,7.4,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"861",2012,"EF1","1089",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"87",2013,"EF1","1089",NA,7.9,NA,NA,7.9,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"88",2014,"EF1","1089",NA,7.9,NA,NA,7.9,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"89",2002,"EF1","1095",NA,5.2,188,NA,5.2,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"90",2003,"EF1","1095",NA,10.2,173,NA,10.2,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"901",2004,"EF1","1095",NA,NA,173,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"91",2005,"EF1","1095",NA,5.6,173,NA,5.6,1,2,2005,13.057,14.78,482.06,10577.29,8228.298
"911",2006,"EF1","1095",NA,NA,173,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"92",2007,"EF1","1095",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"95",2003,"EF1","1518",0.2,NA,14,0.219732178022843,0.219732178022843,1,0,2003,13.143,14.48,293.63,13785.266,10299.033
"96",2004,"EF1","1518",0.4,NA,20,0.320086648286726,0.320086648286726,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"97",2005,"EF1","1518",NA,NA,NA,NA,NA,0,1,2005,13.057,14.78,482.06,10577.29,8228.298
"98",2003,"EF1","1519",0.1,NA,7,0.169554942890901,0.169554942890901,1,0,2003,13.143,14.48,293.63,13785.266,10299.033
"99",2004,"EF1","1519",0.3,NA,18,0.269909413154784,0.269909413154784,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"100",2005,"EF1","1519",0.5,NA,32,0.370263883418668,0.370263883418668,1,1,2005,13.057,14.78,482.06,10577.29,8228.298
"1001",2006,"EF1","1519",NA,NA,32,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"101",2007,"EF1","1519",3.9,NA,95,2.07628987790468,2.07628987790468,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"1011",2008,"EF1","1519",NA,NA,95,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"102",2009,"EF1","1519",NA,1,164,NA,1,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"1021",2010,"EF1","1519",NA,NA,164,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"103",2011,"EF1","1519",NA,4.7,NA,NA,4.7,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"1031",2012,"EF1","1519",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"104",2013,"EF1","1519",NA,6.6,NA,NA,6.6,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"105",2014,"EF1","1519",NA,7.2,NA,NA,7.2,1,1,2014,15.686,15.44,354.61,12973.756,10639.12
"106",2015,"EF1","1519",NA,7.8,NA,NA,7.8,1,1,2015,13.957,14.38,367.54,11279.114,9834.776
"107",2016,"EF1","1519",NA,8.2,NA,NA,8.2,1,1,2016,13.6,15.7,797.63,11562.25,9450.275
"108",2017,"EF1","1519",NA,10.1,NA,NA,10.1,1,1,2017,NA,NA,NA,11215.875,8533.928
"109",2003,"EF1","1520",1.5,NA,14,0.872036234738085,0.872036234738085,1,0,2003,13.143,14.48,293.63,13785.266,10299.033
"1091",2004,"EF1","1520",NA,NA,14,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"110",2005,"EF1","1520",NA,NA,NA,NA,NA,0,2,2005,13.057,14.78,482.06,10577.29,8228.298
"112",2003,"EF1","1521",1.2,NA,60,0.72150452934226,0.72150452934226,1,0,2003,13.143,14.48,293.63,13785.266,10299.033
"1121",2004,"EF1","1521",NA,NA,60,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"113",2005,"EF1","1521",1.2,NA,60,0.72150452934226,0.72150452934226,0,2,2005,13.057,14.78,482.06,10577.29,8228.298
"124",2003,"EF1","1523",3.5,NA,110,1.87558093737692,1.87558093737692,1,0,2003,13.143,14.48,293.63,13785.266,10299.033
"1241",2004,"EF1","1523",NA,NA,110,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"125",2005,"EF1","1523",NA,NA,NA,NA,NA,0,2,2005,13.057,14.78,482.06,10577.29,8228.298
"127",2003,"EF1","1524",0.8,NA,82,0.520795588814493,0.520795588814493,1,0,2003,13.143,14.48,293.63,13785.266,10299.033
"1271",2004,"EF1","1524",NA,NA,82,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"128",2005,"EF1","1524",0.8,NA,82,0.520795588814493,0.520795588814493,0,2,2005,13.057,14.78,482.06,10577.29,8228.298
"129",2003,"EF1","1525",0.3,NA,13,0.269909413154784,0.269909413154784,1,0,2003,13.143,14.48,293.63,13785.266,10299.033
"1291",2004,"EF1","1525",NA,NA,13,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"130",2005,"EF1","1525",0.3,NA,13,0.269909413154784,0.269909413154784,0,2,2005,13.057,14.78,482.06,10577.29,8228.298
"131",2003,"EF1","1526",0.2,NA,9,0.219732178022843,0.219732178022843,1,0,2003,13.143,14.48,293.63,13785.266,10299.033
"132",2004,"EF1","1526",0.3,NA,17,0.269909413154784,0.269909413154784,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"133",2005,"EF1","1526",0.9,NA,45,0.570972823946435,0.570972823946435,1,1,2005,13.057,14.78,482.06,10577.29,8228.298
"1331",2006,"EF1","1526",NA,NA,45,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"134",2007,"EF1","1526",2.3,NA,79,1.27345411579362,1.27345411579362,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"1341",2008,"EF1","1526",NA,NA,79,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"135",2009,"EF1","1526",2.8,NA,100,1.52434029145333,1.52434029145333,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"1351",2010,"EF1","1526",NA,NA,100,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"136",2011,"EF1","1526",NA,3.2,296,NA,3.2,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"1361",2012,"EF1","1526",NA,NA,296,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"137",2013,"EF1","1526",NA,4,NA,NA,4,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"138",2014,"EF1","1526",NA,4,NA,NA,4,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"139",2003,"EF1","1527",0.1,NA,10,0.169554942890901,0.169554942890901,1,0,2003,13.143,14.48,293.63,13785.266,10299.033
"140",2004,"EF1","1527",NA,NA,NA,NA,NA,0,1,2004,12.929,14.16,772.77,9001.189,6400.959
"141",2005,"EF1","1527",NA,NA,NA,NA,NA,0,1,2005,13.057,14.78,482.06,10577.29,8228.298
"145",2003,"EF1","1528",0.1,NA,11,0.169554942890901,0.169554942890901,1,0,2003,13.143,14.48,293.63,13785.266,10299.033
"146",2004,"EF1","1528",0.3,NA,17,0.269909413154784,0.269909413154784,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"147",2005,"EF1","1528",NA,NA,NA,NA,NA,0,1,2005,13.057,14.78,482.06,10577.29,8228.298
"149",2002,"EF1","1803",NA,9.2,NA,NA,9.2,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"150",2003,"EF1","1803",NA,11.3,NA,NA,11.3,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"1501",2004,"EF1","1803",NA,NA,NA,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"1511",2005,"EF1","1803",NA,18.8,NA,NA,18.8,1,2,2005,13.057,14.78,482.06,10577.29,8228.298
"1512",2006,"EF1","1803",NA,NA,NA,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"152",2007,"EF1","1803",NA,19.6,NA,NA,19.6,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"1521",2008,"EF1","1803",NA,NA,NA,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"153",2009,"EF1","1803",NA,20.9,NA,NA,20.9,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"1531",2010,"EF1","1803",NA,NA,NA,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"154",2011,"EF1","1803",NA,24.7,NA,NA,24.7,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"1541",2012,"EF1","1803",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"155",2013,"EF1","1803",NA,25.8,NA,NA,25.8,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"156",2014,"EF1","1803",NA,26.3,NA,NA,26.3,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"157",2002,"EF1","1804",NA,4.3,NA,NA,4.3,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"158",2003,"EF1","1804",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"160",2002,"EF1","1805",NA,2.5,NA,NA,2.5,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"1611",2003,"EF1","1805",NA,2.5,NA,NA,2.5,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"1612",2004,"EF1","1805",NA,NA,NA,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"162",2005,"EF1","1805",NA,NA,NA,NA,NA,0,2,2005,13.057,14.78,482.06,10577.29,8228.298
"165",2002,"EF1","1806",NA,6.5,NA,NA,6.5,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"166",2003,"EF1","1806",NA,7.6,NA,NA,7.6,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"1661",2004,"EF1","1806",NA,NA,NA,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"167",2005,"EF1","1806",NA,10.3,NA,NA,10.3,1,2,2005,13.057,14.78,482.06,10577.29,8228.298
"1671",2006,"EF1","1806",NA,NA,NA,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"168",2007,"EF1","1806",NA,12.7,NA,NA,12.7,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"1681",2008,"EF1","1806",NA,NA,NA,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"169",2009,"EF1","1806",NA,14.3,NA,NA,14.3,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"1691",2010,"EF1","1806",NA,NA,NA,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"170",2011,"EF1","1806",NA,17.8,NA,NA,17.8,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"1701",2012,"EF1","1806",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"1711",2013,"EF1","1806",NA,18.7,NA,NA,18.7,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"172",2014,"EF1","1806",NA,22.3,NA,NA,22.3,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"173",2002,"EF1","1807",NA,2,200,NA,2,0,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"174",2002,"EF1","1808",NA,1.7,178,NA,1.7,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"175",2003,"EF1","1808",NA,2.4,230,NA,2.4,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"1751",2004,"EF1","1808",NA,NA,230,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"176",2005,"EF1","1808",NA,3.5,270,NA,3.5,1,2,2005,13.057,14.78,482.06,10577.29,8228.298
"1761",2006,"EF1","1808",NA,NA,270,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"177",2007,"EF1","1808",NA,4,300,NA,4,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"179",2002,"EF1","1809",NA,6.5,NA,NA,6.5,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"180",2003,"EF1","1809",NA,7,NA,NA,7,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"1801",2004,"EF1","1809",NA,NA,NA,NA,NA,NA,0,2004,12.929,14.16,772.77,9001.189,6400.959
"1811",2005,"EF1","1809",NA,9.6,NA,NA,9.6,1,2,2005,13.057,14.78,482.06,10577.29,8228.298
