Site,TagNo,DBH,surv,lags,resurveyarea,newplt,yr,Temp.Oct.Apr.,Temp.May.Sept.,Precip.Aug.July,fog,cloud,sitetag,growth,propgrowth,allgrowth,allpropgrowth
MSC,1224,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1224,NA,NA,NA,NA
MSC,1225,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1225,NA,NA,NA,NA
MSC,1226,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1226,NA,NA,NA,NA
MSC,1227,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1227,NA,NA,NA,NA
MSC,1228,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1228,NA,NA,NA,NA
MSC,1229,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1229,NA,NA,NA,NA
MSC,1230,NA,1,1,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,MSC1230,NA,NA,NA,NA
MSC,1231,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1231,NA,NA,NA,NA
MSC,1232,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1232,NA,NA,NA,NA
MSC,1233,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1233,NA,NA,NA,NA
MSC,1234,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1234,NA,NA,NA,NA
MSC,1235,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1235,NA,NA,NA,NA
MSC,1236,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1236,NA,NA,NA,NA
MSC,1237,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1237,NA,NA,NA,NA
MSC,1239,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1239,NA,NA,NA,NA
MSC,1241,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1241,NA,NA,NA,NA
MSC,1248,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1248,NA,NA,NA,NA
MSC,1249,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1249,NA,NA,NA,NA
MSC,1249,NA,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,MSC1249,NA,NA,NA,NA
MSC,1251,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1251,NA,NA,NA,NA
MSC,1251,NA,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,MSC1251,NA,NA,NA,NA
MSC,1254,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1254,NA,NA,NA,NA
MSC,1255,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1255,NA,NA,NA,NA
MSC,1258,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1258,NA,NA,NA,NA
MSC,1259,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1259,NA,NA,NA,NA
MSC,1261,NA,1,1,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,MSC1261,NA,NA,NA,NA
MSC,1262,NA,1,1,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,MSC1262,NA,NA,NA,NA
MSC,1265,NA,1,1,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,MSC1265,NA,NA,NA,NA
MSC,1266,NA,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,MSC1266,NA,NA,NA,NA
MSC,1288,NA,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,MSC1288,NA,NA,NA,NA
MSC,1301,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1301,NA,NA,NA,NA
MSC,1302,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1302,NA,NA,NA,NA
MSC,1307,NA,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,MSC1307,NA,NA,NA,NA
MSC,1308,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1308,NA,NA,NA,NA
MSC,1313,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1313,NA,NA,NA,NA
MSC,1320,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1320,NA,NA,NA,NA
MSC,1322,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1322,NA,NA,NA,NA
MSC,1331,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1331,NA,NA,NA,NA
MSC,1334,NA,1,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,MSC1334,NA,NA,NA,NA
MSC,1336,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1336,NA,NA,NA,NA
MSC,1341,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1341,NA,NA,NA,NA
MSC,1346,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1346,NA,NA,NA,NA
MSC,1354,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1354,NA,NA,NA,NA
MSC,1355,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1355,NA,NA,NA,NA
MSC,1356,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1356,NA,NA,NA,NA
MSC,1357,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1357,NA,NA,NA,NA
MSC,1359,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1359,NA,NA,NA,NA
MSC,1361,NA,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,MSC1361,NA,NA,NA,NA
MSC,1362,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1362,NA,NA,NA,NA
MSC,1363,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1363,NA,NA,NA,NA
MSC,1364,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1364,NA,NA,NA,NA
MSC,1366,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1366,NA,NA,NA,NA
MSC,1368,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1368,NA,NA,NA,NA
MSC,1371,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1371,NA,NA,NA,NA
MSC,1375,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1375,NA,NA,NA,NA
MSC,1376,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1376,NA,NA,NA,NA
MSC,1379,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1379,NA,NA,NA,NA
MSC,1380,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1380,NA,NA,NA,NA
MSC,1381,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1381,NA,NA,NA,NA
MSC,1383,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1383,NA,NA,NA,NA
MSC,1384,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1384,NA,NA,NA,NA
MSC,1387,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1387,NA,NA,NA,NA
MSC,1389,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1389,NA,NA,NA,NA
MSC,1390,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1390,NA,NA,NA,NA
MSC,1391,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1391,NA,NA,NA,NA
MSC,1396,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1396,NA,NA,NA,NA
MSC,1397,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1397,NA,NA,NA,NA
MSC,1398,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1398,NA,NA,NA,NA
MSC,1401,NA,1,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,MSC1401,NA,NA,NA,NA
MSC,1403,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1403,NA,NA,NA,NA
MSC,1404,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1404,NA,NA,NA,NA
MSC,1406,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1406,NA,NA,NA,NA
MSC,1408,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1408,NA,NA,NA,NA
MSC,1410,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1410,NA,NA,NA,NA
MSC,1411,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1411,NA,NA,NA,NA
MSC,1412,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1412,NA,NA,NA,NA
MSC,1413,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1413,NA,NA,NA,NA
MSC,1415,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1415,NA,NA,NA,NA
MSC,1416,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1416,NA,NA,NA,NA
MSC,1417,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1417,NA,NA,NA,NA
MSC,1422,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1422,NA,NA,NA,NA
MSC,1425,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1425,NA,NA,NA,NA
MSC,1429,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1429,NA,NA,NA,NA
MSC,1432,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1432,NA,NA,NA,NA
MSC,1433,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1433,NA,NA,NA,NA
MSC,1434,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1434,NA,NA,NA,NA
MSC,1446,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1446,NA,NA,NA,NA
MSC,1447,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1447,NA,NA,NA,NA
MSC,1450,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1450,NA,NA,NA,NA
MSC,1457,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1457,NA,NA,NA,NA
MSC,1460,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1460,NA,NA,NA,NA
MSC,1464,NA,1,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,MSC1464,NA,NA,NA,NA
MSC,1467,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1467,NA,NA,NA,NA
MSC,1471,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1471,NA,NA,NA,NA
MSC,1478,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1478,NA,NA,NA,NA
MSC,1481,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1481,NA,NA,NA,NA
MSC,1483,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1483,NA,NA,NA,NA
MSC,1490,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1490,NA,NA,NA,NA
MSC,1491,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1491,NA,NA,NA,NA
MSC,1492,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1492,NA,NA,NA,NA
MSC,1495,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1495,NA,NA,NA,NA
MSC,1496,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1496,NA,NA,NA,NA
MSC,1499,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1499,NA,NA,NA,NA
MSC,1515,NA,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,MSC1515,NA,NA,NA,NA
MSC,1535,NA,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,MSC1535,NA,NA,NA,NA
MSC,1537,NA,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,MSC1537,NA,NA,NA,NA
MSC,1543,NA,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,MSC1543,NA,NA,NA,NA
MSC,1544,NA,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,MSC1544,NA,NA,NA,NA
MSC,1710b,NA,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,MSC1710b,NA,NA,NA,NA
MSC,1717b,NA,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,MSC1717b,NA,NA,NA,NA
MSC,1719b,NA,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,MSC1719b,NA,NA,NA,NA
MSC,1720b,NA,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,MSC1720b,NA,NA,NA,NA
MSC,1740a,NA,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,MSC1740a,NA,NA,NA,NA
MSC,1886,NA,1,1,0,0,2016,13.6,15.7,797.63,11562.25,9450.275,MSC1886,NA,NA,NA,NA
MSC,1889,NA,1,1,0,0,2014,15.686,15.44,354.61,12973.756,10639.12,MSC1889,NA,NA,NA,NA
MSC,1890,NA,1,3,0,0,2007,12.729,14.86,353.13,10910.287,9311.544,MSC1890,NA,NA,NA,NA
MSC,1894,NA,1,2,0,0,2011,12.9,14.78,340.13,10342.664,7190.291,MSC1894,NA,NA,NA,NA
MSC,1897,NA,1,1,0,0,2016,13.6,15.7,797.63,11562.25,9450.275,MSC1897,NA,NA,NA,NA
MSC,1897,NA,1,1,0,0,2017,NA,NA,NA,11215.875,8533.928,MSC1897,NA,NA,NA,NA
MSC,1900,NA,1,2,0,0,2013,14.357,16.06,192.27,12276.104,7806.735,MSC1900,NA,NA,NA,NA
MSC,1927,NA,1,1,0,0,2011,12.9,14.78,340.13,10342.664,7190.291,MSC1927,NA,NA,NA,NA
MSC,1973,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1973,NA,NA,NA,NA
MSC,1974,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1974,NA,NA,NA,NA
MSC,1975,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1975,NA,NA,NA,NA
MSC,1976,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1976,NA,NA,NA,NA
MSC,1980,NA,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,MSC1980,NA,NA,NA,NA
MSC,1983,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1983,NA,NA,NA,NA
MSC,1984,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1984,NA,NA,NA,NA
MSC,1986,NA,1,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,MSC1986,NA,NA,NA,NA
MSC,1991,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1991,NA,NA,NA,NA
MSC,1993,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1993,NA,NA,NA,NA
MSC,1NA,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,MSC1NA,NA,NA,NA,NA
MSC,4064,NA,1,1,1,0,2016,13.6,15.7,797.63,11562.25,9450.275,MSC4064,NA,NA,NA,NA
MSC,4088,NA,1,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,MSC4088,NA,NA,NA,NA
MSC,4602,NA,1,2,0,0,2007,12.729,14.86,353.13,10910.287,9311.544,MSC4602,NA,NA,NA,NA
MSC,4602,NA,1,3,0,0,2010,12.971,13.52,797.16,10810.442,6033.497,MSC4602,NA,NA,NA,NA
MSC,4604,NA,1,1,0,0,2011,12.9,14.78,340.13,10342.664,7190.291,MSC4604,NA,NA,NA,NA
MSC,4609,NA,1,1,0,0,2011,12.9,14.78,340.13,10342.664,7190.291,MSC4609,NA,NA,NA,NA
MSC,4612,NA,1,1,0,0,2017,NA,NA,NA,11215.875,8533.928,MSC4612,NA,NA,NA,NA
MSC,4643,NA,1,1,0,0,2014,15.686,15.44,354.61,12973.756,10639.12,MSC4643,NA,NA,NA,NA
MSC,4652,NA,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,MSC4652,NA,NA,NA,NA
MSC,4936,NA,1,2,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,MSC4936,NA,NA,NA,NA
MSC,4963,NA,1,2,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,MSC4963,NA,NA,NA,NA
OP,121,NA,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,OP121,NA,NA,NA,NA
OP,1667,NA,1,1,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,OP1667,NA,NA,NA,NA
OP,283,NA,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,OP283,NA,NA,NA,NA
OP,297,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,OP297,NA,NA,NA,NA
OP,297,NA,1,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,OP297,NA,NA,NA,NA
OP,4073,NA,1,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,OP4073,NA,NA,NA,NA
OP,4186,NA,1,1,0,0,2015,13.957,14.38,367.54,11279.114,9834.776,OP4186,NA,NA,NA,NA
OP,88,NA,1,2,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,OP88,NA,NA,NA,NA
SSC,203,NA,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,SSC203,NA,NA,NA,NA
SSC,351,NA,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,SSC351,NA,NA,NA,NA
SSC,450,NA,1,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,SSC450,NA,NA,NA,NA
SSC,4535,NA,1,1,0,0,2015,13.957,14.38,367.54,11279.114,9834.776,SSC4535,NA,NA,NA,NA
SSC,782,NA,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,SSC782,NA,NA,NA,NA
